rule_id	category	from	to	count	n_chapters	n_contexts	reverse_count	witnesses	examples	status	comment
R0011	degemination	m		17	12	10	0	H	SS.1.1.31 H «carmmaromanakharudhirādayaḥ» -> «carmaromanakharudhirādayaḥ» ‖ SS.1.13.16 H «ārdracarmmaṇānyair vvā» -> «ārdracarmaṇānyair vā» ‖ SS.2.1.51 H «mmuhur» -> «muhur»	proposed	
R0012	degemination	ṇ		15	6	9	0	H K N	SS.1.1.32 K «suvarṇṇarajatādayaḥ» -> «suvarṇarajatādayaḥ» ‖ SS.1.1.32 N «suvarṇṇarajatādayaḥ» -> «suvarṇarajatādayaḥ» ‖ SS.1.1.32 H «suvarṇṇarajatādayaḥ» -> «suvarṇarajatādayaḥ»	proposed	
R0013	degemination	t		12	7	10	0	H K	SS.5.1.50 H «karttavyaṃ» -> «kartavyaṃ» ‖ SS.5.2.15 H «prakīrttitau» -> «prakīrtitau» ‖ SS.5.2.24 H «marttyaṃ» -> «martyaṃ»	proposed	
R0014	degemination	g		11	8	9	0	H	SS.1.14.13 H «ggacchatīti» -> «gacchatīti» ‖ SS.4.4.32 H «viṃśativargga» -> «viṃśativargaṃ» ‖ SS.5.2.19ab H «gguṇaiḥ» -> «guṇaiḥ»	proposed	
R0015	degemination	j		11	7	9	0	H	SS.1.14.36 H «lodhramadhukapriyaṅgupattāṅgagairikarasāñjanaśaṅkhaśuktiyavamāṣagodhūmasarjjarasacūrṇṇair» -> «lodhramadhukapriyaṅgupattāṅgagairikarasāñjanaśaṅkhaśuktiyavamāṣagodhūmasarjarasacūrṇṇair» ‖ SS.5.2.55 H «varjjanīyam» -> «varjanīyam» ‖ SS.5.3.38 H «parivarjjanīyāḥ» -> «parivarjanīyāḥ»	proposed	
R0016	degemination	c		9	7	6	0	H K N	SS.1.14.16 H «sa śabdārcci jala santānavad anunā» -> «sa śabdārcijālasantānavad aṇunā» ‖ SS.1.16.15 N «cchedyabhedyalekhyavyadhanair» -> «chedyabhedyalekhyavyadhanair» ‖ SS.1.16.15 H «cchedyabhedyalekhyavyadhanair» -> «chedyabhedyalekhyavyadhanair»	proposed	
R0017	degemination	k		7	6	5	0	H	SS.1.14.36 H «śarkkarāmadhumadhuraṃ» -> «śarkarāmadhumadhuraṃ» ‖ SS.1.16.19 H «saṃbhṛtyārkkālarkkabalātibalānantāvidārīmadhukajalaśūkaprativāpan» -> «saṃbhṛtyārkālarkabalātibalānantāvidārīmadhukajalaśūkaprativāpan» ‖ SS.1.16.19 H «saṃbhṛtyārkkālarkkabalātibalānantāvidārīmadhukajalaśūkaprativāpan» -> «saṃbhṛtyārkālarkabalātibalānantāvidārīmadhukajalaśūkaprativāpan»	proposed	
R0018	degemination	b		5	4	5	0	H	SS.1.14.36 H «bbandhanadravyair» -> «bandhanadravyair» ‖ SS.5.2.13 H «grīvādaurbbalyavāksaṅgau» -> «grīvādaurbalyavāksaṅgau» ‖ SS.5.2.36 H «durbbale» -> «durbale»	proposed	
R0019	degemination	n		5	2	4	0	H	SS.1.16.10 H «nnirvvedhimaḥ» -> «nirvvedhimaḥ» ‖ SS.1.16.31 H «nnikṛntet | hīnam» -> «nikṛntet | hīnam» ‖ SS.5.2.7 H «nnṛṇāṃ» -> «nṛṇāṃ»	proposed	
R0020	degemination	l		2	2	1	0	H	SS.5.7.38 H «lleha» -> «leha» ‖ SS.6.17.90 H «llepaḥ» -> «lepaḥ»	proposed	
R0021	deletion	ḥ		8	7	8	0	H K N	SS.1.1.4b N «icchāmaḥ» -> «icchāma» ‖ SS.1.14.41 K «prayojayet | sandhānaiḥr» -> «prayojayet | sandhānair» ‖ SS.2.1.87 N «pradhāvitāḥ» -> «pradhāvitā»	proposed	
R0022	deletion	r		7	5	6	0	H K N	SS.1.16.23 N «tv avarhi» -> «tv abahiḥ» ‖ SS.1.16.29 H «pattrāṅgayaṣṭīmadhukāñjanaiś» -> «pattāṅgayaṣṭīmadhukāñjanaiś» ‖ SS.5.1.71cd H «kapittha meṣaśrṛṅgābhyām» -> «kapitthameṣaśṛṅgābhyām»	proposed	
R0023	deletion	a		3	2	2	0	H N	SS.3.1.16 N «anityeṣu ca» -> «nityeṣu ca» ‖ SS.3.1.16 H «anityeṣu ca» -> «nityeṣu ca» ‖ SS.6.64.70 H «yada» -> «yad»	proposed	
R0024	deletion	¦		3	3	3	0	H N	SS.1.13.11 N «pānālepanādiṣūpa¦yojyaḥ» -> «pānālepanādiṣūpayojyaḥ» ‖ SS.1.14.12 N «āhā¦reṇa» -> «āhāreṇa» ‖ SS.3.3.21 H «dauhṛde¦ yā» -> «dauhṛde yā»	proposed	
R0025	deletion	d 		2	1	1	0	H K	SS.5.1.50 K «d vāpi» -> «vāpi» ‖ SS.5.1.50 H «d vāpi» -> «vāpi»	proposed	
R0026	deletion	y		2	2	2	0	H	SS.2.1.36 H «sveda dāhoṣṇya mūrcchāḥ syuḥ» -> «svedadāhoṣṇamūrcchāḥ syuḥ» ‖ SS.5.5.53 H «taila madya kulatthāmla varjyair» -> «tailamadyakulatthāmlavarjair»	proposed	
R0027	deletion	✗		2	2	2	0	K	SS.1.1.8.4 K «deva✗gandharvakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ» -> «devagandharvayakṣarākṣasapitṛpiśācavināyakanāgagrahopasṛṣṭacetasāṃ» ‖ SS.6.17.47 K «yojayed bhiṣak |✗ punaś ca» -> «yojayed bhiṣak | punaś ca»	proposed	
R0028	deletion	 i		1	1	1	0	N	SS.1.13.22.1 N «n idramadaḥ» -> «indramadaḥ»	proposed	
R0029	deletion	g 		1	1	1	0	H	SS.6.17.22 H «g nidhāpayet | kośike» -> «nidhāpayet | kośake»	proposed	
R0030	deletion	i		1	1	1	0	H	SS.6.17.64b H «athāgramuktai» -> «athābhramukte ca»	proposed	
R0031	deletion	p		1	1	1	0	H	SS.5.5.84ab H «somarājīyavaphalā» -> «somarājīyabahulā»	proposed	
R0032	deletion	t		1	1	1	0	N	SS.1.13.22 N «durtvāntā» -> «durvāntā»	proposed	
R0033	deletion	ā		1	1	1	0	N	SS.1.1.4 N «vividhavedanābhighātopadrutān āsanāthān anāthavad viceṣṭamānān vikrośataś» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś»	proposed	
R0034	deletion	ḥ 		1	1	1	0	H	SS.3.2.55 H «niśvāsocchvāsa saṃkṣobhaḥ svapnāṅ» -> «niśvāsocchvāsasaṃkṣobhasvapnāṅ»	proposed	
R0035	deletion	✗ 		1	1	1	0	K	SS.6.17.47 K «✗ doṣocchraye» -> «doṣocchraye»	proposed	
R0036	gemination		d	9	6	8	0	K N	SS.1.1.8.2 K «nāmordhvajatrugatānāṃ» -> «nāmorddhvajatrugatānāṃ» ‖ SS.1.1.8.2 N «nāmordhvajatrugatānāṃ» -> «nāmorddhvajatrugatānāṃ» ‖ SS.1.13.11 N «indrāyudhavad ūrdhvarājī» -> «indrāyudhavad ūrddhvarājī»	proposed	
R0037	gemination		v	7	3	5	0	K N	SS.1.16.3 K «vidhyet | pūrvan» -> «vidhyet | pūrvvan» ‖ SS.1.16.3 N «vidhyet | pūrvan» -> «vidhyet | pūrvvan» ‖ SS.1.16.6 N «vidhyet» -> «vvidhyet»	proposed	
R0038	gemination		m	6	2	5	0	N	SS.2.1.11 N «nāmasthānātmakarmabhiḥ» -> «nāmasthānātmakarmmabhiḥ» ‖ SS.2.1.90 N «vijānīyād bahirmārgāvarodhinīṃ» -> «vijānīyād bahirmmārggāvarodhinīm» ‖ SS.3.1.9 N «amadhyasthadharmiṇī» -> «amadhyasthadharmmiṇī»	proposed	
R0039	gemination		t	6	2	3	0	H N	SS.1.13.24 N «kartum» -> «karttum» ‖ SS.3.1.3 N «satvarajastamo lakṣaṇam» -> «sattvarajastamolakṣaṇam» ‖ SS.3.1.3 H «satvarajastamo lakṣaṇam» -> «sattvarajastamolakṣaṇam»	proposed	
R0040	gemination		c	5	5	2	0	H N	SS.2.1.86 N «varcomūtrāśayotthitā» -> «varccomūtrāśayotthitā» ‖ SS.5.3.8 H «charddimohajvaraśophaśūlān | arcchanti» -> «cchardimohajvaraśophaśūlān | arcchanti» ‖ SS.5.5.60 H «chītair» -> «cchītair»	proposed	
R0041	gemination		j	5	4	4	0	H K N	SS.1.13.22 N «anulomamārjayann ā» -> «anulomamārjjayann ā» ‖ SS.3.1.4 N «jihvā» -> «jjihvā» ‖ SS.5.1.5ab K «akiñcijñaṃ» -> «akiñcijjñaṃ»	proposed	
R0042	gemination		ṇ	4	2	4	0	N	SS.1.2.10 N «viprāṇ ṇādhīyate» -> «viprāṇṇ ādhīyate» ‖ SS.1.16.15 N «karṇam» -> «karṇṇam» ‖ SS.1.16.18 N «karṇo» -> «karṇṇo»	proposed	
R0043	gemination		g	2	2	2	0	N	SS.1.16.10 N «gaṇḍakarṇṇakaḥ» -> «ggaṇḍakarṇṇakaḥ» ‖ SS.2.1.90 N «vijānīyād bahirmārgāvarodhinīṃ» -> «vijānīyād bahirmmārggāvarodhinīm»	proposed	
R0044	gemination		a	1	1	1	0	H	SS.4.4.23 H «ca yat» -> «caa yat»	proposed	
R0045	gemination		k	1	1	1	0	H	SS.1.14.35 H «elāśītaśivaḥkuṣṭhatagarapāṭhābhadradāruviḍaṃgacitrakatrikaṭukāgāradhūmaharidrārkāṅkuranaktamālaphalair» -> «elāśītaśivaḥ kuṣṭhatagarapāṭhābhadradāruviḍaṃgacitrakatrikaṭukāgāradhūmaharidrārkkāṃkuranaktamālaphalair»	proposed	
R0046	gemination		p	1	1	1	0	N	SS.3.2.35 N «sarpa vṛścika galagoḍikādayaḥ» -> «sarppavṛścikagalagoḍikādayaḥ»	proposed	
R0047	insertion		ḥ	16	9	12	0	H K N	SS.1.1.4b H «upasannā smaḥ» -> «upasannāḥ smaḥ» ‖ SS.1.1.30 N «caturvvidhā» -> «caturvidhāḥ» ‖ SS.1.16.23 N «tv avarhi» -> «tv abahiḥ»	proposed	
R0048	insertion		r	13	8	11	0	H K	SS.1.1.4 K «bhagavacchārīramānasāgantu bhi» -> «bhagavañ śārīramānasāgantubhir» ‖ SS.1.13.22.1 K «idamadaḥ» -> «indramadaḥ» ‖ SS.1.14.36 K «avacūrṇṇāṅgulyagreṇāvapīḍayet | sālasarjārjunārimedagranthidhavadhanvanatvagbhi vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā»	proposed	
R0049	insertion		y	10	5	6	0	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.2.6 N «vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.14.36 K «avacūrṇṇāṅgulyagreṇāvapīḍayet | sālasarjārjunārimedagranthidhavadhanvanatvagbhi vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā»	proposed	
R0050	insertion		a	3	3	3	0	H K	SS.3.2.57 H «sttāna bahulāḥ» -> «sattvabahulāḥ» ‖ SS.5.2.21 H «saukṣmyāc charīrāvayavān praviśed vikrayeta» -> «saukṣmyāc charīrāvayavān praviśed vikaroti» ‖ SS.6.65.32 K «prāṇaharaṃ» -> «aprāṇaharam»	proposed	
R0051	insertion		i	2	2	2	0	H N	SS.1.13.22.1 N «n idramadaḥ» -> «indramadaḥ» ‖ SS.3.9.7 H «pakvāsayakaṭīmūtravastigudameḍhrasakthīni» -> «pakvāśayaikaṭīmūtrabastigudameḍhrasakthīni»	proposed	
R0052	insertion		t	2	2	2	0	N	SS.1.13.14 N «padmopala kumuda saugandhika śaivāla kotha jātā» -> «padmotpalakumudasaugandhikaśaivālakothajātā» ‖ SS.3.2.25 N «tailābhyaṅgā» -> «tailābhyaṅgāt»	proposed	
R0053	insertion		†	2	1	2	0	H	SS.3.3.6.1 H «vipadyate | dvitīye» -> «vipadyate | †dvitīye» ‖ SS.3.3.6.1 H «vipadyate» -> «vipadyate†»	proposed	
R0054	insertion		h	1	1	1	0	H	SS.5.4.42 H «lālimān kiñciddṛṣṭāṅgāḥ» -> «lālimān kiñcid dhṛṣṭāṅgaḥ»	proposed	
R0055	nasal-anusvara	ṃ	m	140	21	35	66	H K N	SS.1.1.3 H «divodāsaṃ» -> «divodāsam» ‖ SS.1.1.8.2 K «upaśamakaraṇārthaṃ» -> «upaśamakaraṇārtham» ‖ SS.1.1.8.2 H «upaśamakaraṇārthaṃ» -> «upaśamakaraṇārtham»	proposed	
R0056	nasal-anusvara	m	ṃ	66	17	27	140	H K N	SS.1.1.4b H «āyurvvedam» -> «āyurvedaṃ» ‖ SS.1.1.8.5 N «kumārabharaṇadhātrīkṣīradoṣasaṃśodhanārtham» -> «kumārabharaṇadhātrīkṣīradoṣasaṃśodhanārthaṃ» ‖ SS.1.1.9 N «kasmai kim» -> «kasmai kiṃ»	proposed	
R0057	nasal-anusvara	n	ṃ	49	16	29	25	H K N	SS.1.13.22.1 N «toyan» -> «toyaṃ» ‖ SS.1.13.22.1 H «toyan» -> «toyaṃ» ‖ SS.1.14.14 N «pañcavinśati» -> «pañcaviṃśati»	proposed	
R0058	nasal-anusvara	ṃ	ṅ	39	16	29	22	H K N	SS.1.1.10 H «alaṃkṛtvopadiśatu» -> «alaṅkṛtvopadiśatu» ‖ SS.1.13.12 N «padmapatravarṇṇāṣṭādaśāṃgulapramāṇā» -> «padmapatravarṇṇāṣṭādaśāṅgulapramāṇā» ‖ SS.1.13.15 H «paṃkeśayāḥ» -> «paṅkeśayāḥ»	proposed	
R0059	nasal-anusvara	ṃ	n	25	13	23	49	H K N	SS.1.1.4 K «vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś» ‖ SS.1.1.4 H «vvividhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośataś» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś» ‖ SS.1.1.5 K «bhavaṃto» -> «bhavanto»	proposed	
R0060	nasal-anusvara	ṅ	ṃ	22	13	19	39	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.13.5 N «samadhuraṅ» -> «samadhuraṃ» ‖ SS.1.14.15 K «saṅkhyā hy» -> «saṃkhyā hy»	proposed	
R0061	nasal-anusvara		ṃ	19	8	12	6	H K N	SS.1.14.36 N «pāyayet | eṇahariṇorabhramahiṣaśaśavarāhānāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā» ‖ SS.1.14.36 H «pāyayet eṇahariṇorabhramahiṣaśaśavarāhāṇāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā» ‖ SS.1.16.25 N «vedano yas tu ta» -> «'vedano yas tu taṃ»	proposed	
R0062	nasal-anusvara	ṃ	ñ	10	7	9	8	H K N	SS.1.13.19 N «salilasarakamadhyasaṃcāriṇī» -> «salilasarakamadhyasañcāriṇī» ‖ SS.1.14.21 K «māṃsapeśīsamaprabhaṃ ca» -> «māṃsapeśīsamaprabhañ ca» ‖ SS.1.16.6 N «ālepayet | surūḍhaṃ» -> «ālepayet | surūḍhañ»	proposed	
R0063	nasal-anusvara	ñ	ṃ	8	6	7	10	H N	SS.3.2.28 N «evañ» -> «evaṃ» ‖ SS.5.2.31 H «kuryāt pravṛddhiñ» -> «kuryāt pravṛddhiṃ» ‖ SS.5.2.39 H «bhṛśañ» -> «bhṛśaṃ»	proposed	
R0064	nasal-anusvara	m		7	4	5	6	H K	SS.1.16.8 H «mā muṃcet |» -> «āmuñcet» ‖ SS.5.7.28 H «dadhikṣīraghṛtamprasthāstrayaḥ» -> «dadhikṣīraghṛtaprasthās trayaḥ» ‖ SS.5.6.18 K «mativiṣāṃ» -> «ativiṣāṃ»	proposed	
R0065	nasal-anusvara	m	n	7	5	5	2	H K N	SS.1.16.17 N «paripuṭavām bhavati |» -> «paripuṭanavān bhavati» ‖ SS.1.16.17 H «paripuṭanavām bhavati |» -> «paripuṭanavān bhavati» ‖ SS.1.16.18 H «saṃrambhadāhapākavedanāvām bhavati |» -> «saṃrambhadāhapākavedanāvān bhavati»	proposed	
R0066	nasal-anusvara	n	ṇ	7	4	6	5	H K N	SS.1.14.16 H «sa śabdārcci jala santānavad anunā» -> «sa śabdārcijālasantānavad aṇunā» ‖ SS.1.14.36 N «pāyayet | eṇahariṇorabhramahiṣaśaśavarāhānāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā» ‖ SS.4.4.28 H «anutailadravyebhyo» -> «aṇutailadravyebhyo»	proposed	
R0067	nasal-anusvara		m	6	4	6	7	H N	SS.1.14.38 N «īṣad ablair» -> «īṣadamblair» ‖ SS.1.14.38 N «anablair vā» -> «anamblair vā» ‖ SS.1.16.3 N «kumāra» -> «kumāram»	proposed	
R0068	nasal-anusvara	ṃ		6	5	6	19	H K N	SS.1.1.12 N «sarveṣāṃm» -> «sarveṣām» ‖ SS.1.14.36 K «pācayet | eṇahariṇor abhraṃ mahiṣaśaśavarāhāṃṇāṃ vā» -> «pāyayet | eṇahariṇorabhraṃmahiṣaśaśavarāhāṇāṃ vā» ‖ SS.2.1.26bcd N «saṃrujām māṃsasaṃsritaḥ |» -> «sarujān māṃsasaṃśritaḥ»	proposed	
R0069	nasal-anusvara		n	5	5	5	3	H K	SS.1.13.22.1 K «idamadaḥ» -> «indramadaḥ» ‖ SS.1.14.9 H «bhavati cātra || viśratā» -> «bhavanti cātra || visratā» ‖ SS.3.9.9.add H «vahatīndriyagocare» -> «vahantīndriyagocare»	proposed	
R0070	nasal-anusvara	ṇ	n	5	4	4	7	H K	SS.3.3.16 H «atikarṣaṇaṃ» -> «atikarśanaṃ» ‖ SS.5.8.92ab H «vendheṇvarthe» -> «dhenvarthe» ‖ SS.6.17.97 K «tulyāṇi» -> «tulyāni»	proposed	
R0071	nasal-anusvara	n		3	2	2	5	H K	SS.3.2.25 H «snānānulepanālaṅkāra vilekhana virahitān» -> «snānānulepanālaṅkāravilekhanavirahitā» ‖ SS.6.17.91 K «saindhavāyutaiḥ |» -> «saidhavāyutaiḥ» ‖ SS.6.17.91 H «saindhavāyutaiḥ |» -> «saidhavāyutaiḥ»	proposed	
R0072	nasal-anusvara	n	ñ	3	3	3	0	H N	SS.2.1.78 N «kalāyakhanjaṃ tam» -> «kalāyakhañjan tam» ‖ SS.4.4.11 H «matimān» -> «matimāñ» ‖ SS.6.64.28 H «māṣān śākāni ca» -> «māṣāñ śākāni ca»	proposed	
R0073	nasal-anusvara		ṃ 	2	2	2	2	K N	SS.3.2.10.add3 N «tathāmblalavaṇaṃ» -> «tathāmlaṃ lavaṇaṃ» ‖ SS.6.64.16k K «vidāhi kṣāratīkṣṇoṣṇa divāsvapnagurūṇy» -> «vidāhikṣāratīkṣṇoṣṇaṃ divāsvapnaṃ gurūṇy»	proposed	
R0074	nasal-anusvara		ṅ	2	2	2	0	H N	SS.1.13.19 N «roga» -> «rogaṅ» ‖ SS.6.17.27 H «nadīja śakha trikaṭuṃ» -> «nadījaśaṅkhatrikaṭūny»	proposed	
R0075	nasal-anusvara	 n		2	1	1	0	H K	SS.5.1.25 K «dantakāṣṭhe n» -> «dantakāṣṭhe» ‖ SS.5.1.25 H «dantakāṣṭhe n» -> «dantakāṣṭhe»	proposed	
R0076	nasal-anusvara	n	m	2	2	2	7	H	SS.2.1.31 H «sanmiśrāḥ» -> «sammiśrāḥ» ‖ SS.5.3.19 H «tejasān» -> «tejasām»	proposed	
R0077	nasal-anusvara	ṃ 		2	2	2	2	K	SS.5.2.7 K «jṛmbhaṇodveṣṭanaṃ śvāsāḥ» -> «jṛmbhaṇodveṣṭanaśvāsā» ‖ SS.6.17.91 K «lodhraṃ saindhavamṛdvīkāmadhukair» -> «lodhrasaindhavamṛdvīkāmadhukair»	proposed	
R0078	nasal-anusvara	ṅ 	ṇ	2	1	1	0	K	SS.1.14.28 K «|| vāta viṅ mūtrasaṃgeṣu» -> «vātaviṇmūtrasaṃgeṣu» ‖ SS.1.14.28 K «vāta viṅ mūtrasaṃgeṣu» -> «vātaviṇmūtrasaṃgeṣu»	proposed	
R0079	nasal-anusvara		ñ	1	1	1	0	K	SS.5.2.31 K «pralepaka» -> «pralepakañ»	proposed	
R0080	nasal-anusvara	ñ	m	1	1	1	0	H	SS.1.16.15 H «aduṣṭañ» -> «aduṣṭam»	proposed	
R0081	nasal-anusvara	ñ 	ṃ	1	1	1	0	H	SS.6.65.28 H «kathañ cit» -> «kathaṃcit»	proposed	
R0082	nasal-anusvara	ṇ		1	1	1	0	N	SS.1.2.10 N «viprāṇ ṇādhīyate» -> «viprāṇṇ ādhīyate»	proposed	
R0083	other	m̐	ṃ	9	7	8	0	H	SS.1.13.17 H «odakām̐ś ca» -> «odakāṃś ca» ‖ SS.1.13.17 H «kandām̐ś» -> «kandāṃś» ‖ SS.2.1.31 H «stambhanākṣepaṇa svāpa śopha śūlām̐ś ca» -> «stambhanākṣepaṇasvāpaśophaśūlāṃś ca»	proposed	
R0084	other	n	t	5	4	5	0	H K	SS.3.3.18 H «dvauhṛdayavimānanān» -> «dvauhṛdayavimānanāt» ‖ SS.3.3.31 H «niḥṣekān» -> «niḥṣekāt» ‖ SS.4.4.28 H «vātaghnauṣadha danta pratīvāyaṃ» -> «vātaghnauṣadhadattapratīvāpaṃ»	proposed	
R0085	other	ṃ |	m	5	4	3	0	H K	SS.5.1.20 K «sphoṭāyed vilikhed mahīṃ |» -> «sphoṭayed vilikhed mahīm» ‖ SS.5.1.20 H «sphoṭayed vilikhen mahīṃ |» -> «sphoṭayed vilikhed mahīm» ‖ SS.5.3.23 H «antarīkṣāt mahīgataṃ |» -> «antarīkṣāt mahīgatam»	proposed	
R0086	other	a	e	3	1	2	0	H	SS.3.2.10.add1 H «ateṣu» -> «eteṣu» ‖ SS.3.2.35.1 H «jāyate» -> «jāyete» ‖ SS.3.2.35.4 H «jāyate» -> «jāyete»	proposed	
R0087	other	e	aṃ	3	2	2	0	H K	SS.5.8.34-verse-1 K «koṭhajanme ca» -> «koṭhajanmaṃ ca» ‖ SS.6.17.44 K «hite ca» -> «hitaṃ ca» ‖ SS.6.17.44 H «hite ca» -> «hitaṃ ca»	proposed	
R0088	other	g	s	3	2	2	0	H K	SS.2.1.82 H «aṃgavandhanaṃ |» -> «aṃsabandhanaṃ» ‖ SS.5.8.34-verse-1 K «gamvāhikā» -> «samvāhikā» ‖ SS.5.8.34-verse-1 H «gamvāhikā» -> «samvāhikā»	proposed	
R0089	other	m	t	3	1	2	0	H K	SS.6.17.41 K «madigrapesimā |» -> «madirāgrapeṣitāḥ» ‖ SS.6.17.41 K «madirāgrapesimā |» -> «madirāgrapeṣitāḥ» ‖ SS.6.17.41 H «madirāgrapeṣimāḥ |» -> «madirāgrapeṣitāḥ»	proposed	
R0090	other	m	ś	3	2	2	0	H K N	SS.1.14.14 K «kalāmatāni |» -> «kalāśatāni» ‖ SS.1.14.14 N «kalāmatāni |» -> «kalāśatāni» ‖ SS.6.65.33 H «tatrātimayo 'pavarṇṇanaṃ» -> «tatrātiśayopavarṇanaṃ»	proposed	
R0091	other	y	p	3	2	2	0	H K	SS.4.4.28 H «vātaghnauṣadha danta pratīvāyaṃ» -> «vātaghnauṣadhadattapratīvāpaṃ» ‖ SS.5.7.48 K «śabdasyarśanadarśanaiḥ |» -> «śabdasparśanadarśanaiḥ» ‖ SS.5.7.48 H «śabdasyarśanadarśamaiḥ ||» -> «śabdasparśanadarśanaiḥ»	proposed	
R0092	other	ā	o	3	3	3	0	H K N	SS.3.1.3 N «ivādakaujasām» -> «ivodakaukasāṃ» ‖ SS.3.2.10.add7 H «lādhratindukakaṣāyam» -> «lodhratindukakaṣāyam» ‖ SS.5.8.115 K «kasanādaṃśā» -> «kasanādaṃśo»	proposed	
